Organization,Repository,Pull Request Id,Title,Source Branch,Target Branch,Created At,Closed At,Duration (Minutes),State,Author,Merged by,Commits,Changed Files,Changed Line,Code Inspection,Reviewers,Reviews,Labels,Yes_review,Same_Author_Merger
elastic,elasticsearch,41547,[DOCS] Explicitly set section IDs for Asciidoctor migration,asciidoctor-fix-section-ids,master,2019-04-26 03:41:33,2019-04-26 04:06:36,25,closed,jrodewig,jrodewig,2,2,10,0,2,2,":Docs, >docs, v7.0.1, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41550,[DOCS] Explicitly set section IDs for Asciidoctor migration,asciidoctor-fix-profile-section-ids,2.4,2019-04-26 04:04:22,2019-04-26 04:17:53,13,closed,jrodewig,jrodewig,1,1,5,0,1,1,":Docs, >docs",1,1
elastic,elasticsearch,41551,"[ML] data frame, verify primary shards are active for configs index before task start",feature/ml-df-check-indices-before-start,master,2019-04-26 04:05:34,2019-04-26 22:19:52,1094,closed,benwtrent,benwtrent,1,2,123,0,1,3,":ml/Data Frame, >non-issue, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41552,[ML] add multi node integ tests for data frames (#41508),tests/ml-df-add-multi-node-integ-tests-7.x,7.x,2019-04-26 04:08:04,2019-04-26 21:18:49,1030,closed,benwtrent,benwtrent,1,10,584,0,1,3,":ml/Data Frame, >refactoring, >test, backport, v7.2.0",1,1
elastic,elasticsearch,41553,Add enrich policy list API,enrich_list_request,enrich,2019-04-26 05:12:19,2019-05-02 03:16:19,8524,closed,hub-cap,hub-cap,6,12,423,0,3,16,":Core/Features/Ingest, >enhancement",1,1
elastic,elasticsearch,41554,[ML] cleanup + adding description field to transforms,feature/ml-df-adding-transform-config-description,master,2019-04-26 05:31:31,2019-04-27 04:41:06,1389,closed,benwtrent,benwtrent,2,28,353,0,3,7,":ml/Data Frame, >refactoring, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41555,Deprecate using 0 value for `min_children` in `has_child` query #41548,closing#41548,7.x,2019-04-26 06:15:33,2019-04-27 04:00:12,1304,closed,codebird,cbuescher,3,3,54,0,4,19,":Search/Search, v7.2.0",1,0
elastic,elasticsearch,41558,SQL: Add support for FROZEN indices,sql/frozen-indices,master,2019-04-26 07:16:46,2019-05-10 06:26:57,20110,closed,costin,costin,11,61,4217,0,4,31,":Search/SQL, >feature, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41560,Cleanup versioned deprecations in analysis,version_cleanup3,master,2019-04-26 09:09:52,2019-05-08 06:40:33,17130,closed,rjernst,rjernst,7,22,623,0,1,4,":Search/Analysis, >breaking, v8.0.0",1,1
elastic,elasticsearch,41561,Update lintian overrides,lintian2,master,2019-04-26 12:09:26,2019-05-08 23:31:28,17962,closed,rjernst,rjernst,7,4,85,0,2,11,":Core/Infra/Packaging, >bug, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41562,[Backport] Remove deprecated stashWithOrigin calls and use the alternative (#40847),backport-40847-7x,7.x,2019-04-26 15:43:36,2019-04-28 20:25:43,3162,closed,bizybot,bizybot,1,17,90,0,0,0,backport,0,1
elastic,elasticsearch,41563,[Backport] Remove deprecated stashWithOrigin calls and use the alternative (#40847),backport-40847-70,7,2019-04-26 15:50:35,2019-04-28 20:25:57,3155,closed,bizybot,bizybot,1,17,86,0,0,0,backport,0,1
elastic,elasticsearch,41564,[Backport] Remove deprecated stashWithOrigin calls and use the alternative (#40847),backport-40847-67,6.7,2019-04-26 15:56:20,2019-04-28 20:26:09,3149,closed,bizybot,bizybot,1,17,81,0,0,0,backport,0,1
elastic,elasticsearch,41565,Simplify Snapshot Resiliency Test (#40930),7.x-40930,7.x,2019-04-26 16:13:52,2019-04-26 17:59:10,105,closed,original-brownbear,original-brownbear,1,1,42,0,1,1,":Distributed/Snapshot/Restore, >test, backport",1,1
elastic,elasticsearch,41568,Add enrich qa module for rest tests and,enrich_qa_rest_module,enrich,2019-04-26 19:06:29,2019-04-27 03:19:19,492,closed,martijnvg,martijnvg,1,5,69,0,2,2,":Core/Features/Ingest, >non-issue",1,1
elastic,elasticsearch,41569,Node names in bootstrap config have no ports,2019-04-26-no-transport-ports-with-node-names,master,2019-04-26 20:11:21,2019-05-08 18:23:56,17172,closed,DaveCTurner,DaveCTurner,14,2,56,0,3,13,":Distributed/Cluster Coordination, >docs, v7.0.2, v7.1.0, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41570,"[FEATURE][ML] Client-side ""Start"" API method for DataFrame analytics config.",df-analyticsconfig-start-method,feature-ml-data-frame-analytics,2019-04-26 20:17:05,2019-04-30 15:32:12,5475,closed,przemekwitek,przemekwitek,57,5,197,0,2,9,":ml/Data Frame, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41571,Async Snapshot Repository Deletes (#40144),40144-7.x,7.x,2019-04-26 20:35:27,2019-04-26 22:36:10,120,closed,original-brownbear,original-brownbear,1,39,451,0,1,1,":Distributed/Snapshot/Restore, >enhancement, backport",1,1
elastic,elasticsearch,41572,Remove experimental label froms script_score query,remove-experimental-script-score-query,master,2019-04-26 20:43:02,2019-04-26 21:50:28,67,closed,mayya-sharipova,mayya-sharipova,1,1,2,0,1,1,":Search/Ranking, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41573,Update error message for allowed characters in aggregation names,gh-41567,master,2019-04-26 21:26:32,2019-05-04 00:54:23,10287,closed,ielatif,polyfractal,1,1,2,0,2,15,":Analytics/Aggregations, >bug, v7.2.0, v8.0.0",1,0
elastic,elasticsearch,41574,[DOCS] Allow attribute substitution in titleabbrevs for Asciidoctor migration,asciidoctor-remove-title-attributes,master,2019-04-26 21:28:08,2019-05-01 02:46:14,6078,closed,jrodewig,jrodewig,4,21,42,0,3,6,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41575,Geo: Add GeoJson parser to libs/geo classes,issue-40908-add-libs-geo-geojson-parser,master,2019-04-26 21:29:04,2019-04-30 02:40:31,4631,closed,imotov,imotov,6,23,1896,0,2,6,":Analytics/Geo, >refactoring, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41577,[DOCS] Fix ID for Asciidoctor migration,asciidoctor-stopping-elasticsearch,master,2019-04-26 21:31:54,2019-04-27 00:20:35,168,closed,jrodewig,jrodewig,1,1,2,0,3,2,":Docs, >docs, v7.0.1, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41578,[DOCS] Escape commas in experimental[] for Asciidoctor migration,asciidoctor-search-rank-eval,master,2019-04-26 21:36:15,2019-04-27 00:35:08,178,closed,jrodewig,jrodewig,1,1,2,0,3,2,":Docs, >docs, v7.0.1, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41579,[DOCS] Add space to fix Asciidoctor output,asciidoctor-sql-syntax-select,master,2019-04-26 22:03:14,2019-04-27 01:12:58,189,closed,jrodewig,jrodewig,1,1,2,0,4,4,":Docs, >docs, v7.0.1, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41580,"[ML] data frame, verify primary shards are active for configs index before task start (#41551)",feature/ml-df-check-indices-before-start-7.x,7.x,2019-04-26 22:26:17,2019-04-27 00:23:43,117,closed,benwtrent,benwtrent,1,2,123,0,1,1,":ml/Data Frame, >non-issue, backport, v7.2.0",1,1
elastic,elasticsearch,41582,[DOCS] Remove delimited block for Asciidoctor migration,asciidoctor-rolling-upgrades,master,2019-04-26 22:45:19,2019-04-27 01:16:27,151,closed,jrodewig,jrodewig,1,1,2,0,2,2,":Docs, >docs, v7.0.1, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41583,[DOCS] Fix delimited blocks for Asciidoctor migration,asciidoctor-restart-upgrade,master,2019-04-26 23:21:24,2019-04-27 00:41:20,79,closed,jrodewig,jrodewig,2,2,5,0,2,2,":Docs, >docs, v7.0.1, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41584,Close and acquire commit during reset engine fix,fix_close_and_acquire_commit_while_resetting_engine,master,2019-04-27 00:07:53,2019-04-29 20:40:47,4112,closed,henningandersen,henningandersen,6,2,201,0,2,13,":Distributed/Engine, >bug, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41585,Restricts naming for repositories,repo_name_40817_backport,7.x,2019-04-27 00:08:48,2019-04-29 21:31:02,4162,closed,danhermann,danhermann,1,2,31,0,1,1,":Distributed/Snapshot/Restore, >bug, backport",1,1
elastic,elasticsearch,41588,Fix multi-node parsing in voting config exclusions REST API,fix-RestAddVotingConfigExclusionAction,master,2019-04-27 01:04:21,2019-04-27 19:18:05,1093,closed,barkbay,ywelsch,4,3,83,0,3,5,":Distributed/Cluster Coordination, >bug, v7.0.1, v7.2.0, v8.0.0",1,0
elastic,elasticsearch,41590,Switch run task to use real distro,run_distro,master,2019-04-27 01:23:05,2019-05-07 04:32:32,14589,closed,rjernst,rjernst,1,12,46,0,1,1,":Core/Infra/Build, >non-issue, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41593,Remove some usages of MapBuilder#immutableMap,map-builder-immutable-map-v1,master,2019-04-27 02:07:39,2019-04-29 08:55:18,3287,closed,jasontedor,jasontedor,6,15,519,0,1,6,":Core/Infra/Core, >non-issue, v8.0.0",1,1
elastic,elasticsearch,41594,[ML] Add bucket_script agg support to data frames,feature/ml-df-bucket_script-support,master,2019-04-27 02:13:18,2019-04-29 22:18:17,4084,closed,benwtrent,benwtrent,1,9,278,0,2,5,":ml/Data Frame, >non-issue, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41595,[DOCS] Reword `type` query deprecation note for Asciidoctor migration,asciidoctor-type-query,master,2019-04-27 02:24:23,2019-05-01 22:28:13,6963,closed,jrodewig,jrodewig,2,1,2,0,2,1,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41598,[DOCS] Escape commas in deprecated[] for Asciidoctor migration,asciidoctor-mapping-boost,master,2019-04-27 03:18:41,2019-05-01 04:50:53,5852,closed,jrodewig,jrodewig,1,1,2,0,2,1,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41599,[DOCS] Move beta[] tag for Asciidoctor migration,asciidoctor-install-es,master,2019-04-27 03:37:09,2019-05-01 05:03:00,5845,closed,jrodewig,jrodewig,1,1,4,0,2,1,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41600,[DOCS] Remove soft line breaks (+) for Asciidoctor migration,asciidoctor-monitor-collectors,master,2019-04-27 03:53:59,2019-05-01 05:22:16,5848,closed,jrodewig,jrodewig,1,1,91,0,2,2,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41601,[7.x] [Monitoring] Add `usage` mapping for `monitoring-kibana` index (#40899),backport/7.x-monitoring-template-version,7.x,2019-04-27 03:56:54,2019-04-27 05:44:03,107,closed,pickypg,pickypg,2,6,19,0,1,8,"backport, v7.2.0",1,1
elastic,elasticsearch,41602,[7.0] [Monitoring] Add `usage` mapping for `monitoring-kibana` index (#40899),backport/7.0-monitoring-template-version,7,2019-04-27 04:04:42,2019-04-27 05:58:55,114,closed,pickypg,pickypg,2,6,19,0,1,3,backport,1,1
elastic,elasticsearch,41603,[DOCS] Add escape characters to avoid smart quotes in Asciidoctor,asciidoctor-date-index,master,2019-04-27 04:16:41,2019-05-01 05:30:59,5834,closed,jrodewig,jrodewig,1,1,2,0,2,1,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41604,[DOCS] Move block delimiter and anchor in 'Configuring Security' for Asciidoctor migration,asciidoctor-config-sec,master,2019-04-27 04:47:03,2019-05-01 05:40:27,5813,closed,jrodewig,jrodewig,1,1,8,0,2,1,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41605,[ML] cleanup + adding description field to transforms (#41554),feature/ml-df-adding-transform-config-description-7.x,7.x,2019-04-27 04:47:24,2019-04-27 06:51:00,123,closed,benwtrent,benwtrent,1,28,353,0,1,2,":ml/Data Frame, >non-issue, backport, v7.2.0",1,1
elastic,elasticsearch,41606,[6.7] [Monitoring] Add `usage` mapping for `monitoring-kibana` index (#40899),backport/6.7-monitoring-template-version,6.7,2019-04-27 04:48:53,2019-04-27 06:25:39,96,closed,pickypg,pickypg,2,6,19,0,0,0,backport,0,1
elastic,elasticsearch,41607,Add `manage_slm` and `read_slm` roles,slm-add-role,snapshot-lifecycle-management,2019-04-27 04:49:21,2019-04-30 04:58:55,4329,closed,dakrone,dakrone,4,2,42,0,2,5,:Core/Features/ILM,1,1
elastic,elasticsearch,41608,[DOCS] Escape deprecated[] macro for Asciidoctor migration,asciidoctor-certgen,master,2019-04-27 05:01:38,2019-05-01 04:18:50,5717,closed,jrodewig,jrodewig,1,1,2,0,2,1,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41609,Improve error message for ln/log with negative results in function score,funcerr,master,2019-04-27 05:09:08,2019-05-03 03:28:31,8539,closed,jdconrad,jdconrad,2,2,40,0,2,2,":Search/Ranking, >enhancement, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41610,Recommend use of ln1p/log1p to avoid negative scores,adjust-field-value-factor-docs,master,2019-04-27 05:09:56,2019-05-03 07:22:04,8772,closed,gwbrown,gwbrown,3,1,23,0,3,6,":Search/Ranking, >docs, v7.0.2, v7.1.0, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41611,Handle WRAP ops during SSL read,ssl_fixes,master,2019-04-27 05:26:22,2019-04-30 04:08:36,4242,closed,tbrooks8,tbrooks8,5,4,148,0,1,1,":Security/Network, >bug, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41613,[DOCS] Add attribute to escape minimal Portuguese token link in Asciidoctor,asciidoctor-tokenfilter,master,2019-04-27 05:42:35,2019-05-01 03:11:25,5608,closed,jrodewig,jrodewig,1,1,8,0,2,1,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41614,Verify consistency of version and source in disruption tests,verify-livedocs,master,2019-04-27 05:45:33,2019-04-30 00:30:19,4004,closed,dnhatn,dnhatn,5,13,135,0,2,5,":Distributed/Distributed, >test, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41615,[DOCS] Add `:` to render multiple inline macros in Asciidoctor,asciidoctor-notification-settings,master,2019-04-27 06:37:24,2019-05-02 04:53:51,7096,closed,jrodewig,jrodewig,3,1,6,0,3,8,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41616,[DOCS] Remove line break from deprecated[] macro,asciidoctor-monitoring-settings,master,2019-04-27 06:52:25,2019-04-30 22:58:10,5285,closed,jrodewig,jrodewig,1,1,3,0,2,1,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
elastic,elasticsearch,41617,[DOCS] Add soft line breaks to maintain nested definition list,asciidoctor-notification-settings2,master,2019-04-27 07:26:03,2019-04-30 22:25:05,5219,closed,jrodewig,jrodewig,1,1,36,0,2,1,":Docs, >docs, v7.0.2, v7.2.0, v8.0.0",1,1
